text,label
is the newest iTunes compatible with Windows Ive tried everything ,bug
@BillGates why cant you let me delete PDFs with preview panel on ? #theimmovableobject ,frustrated
Windows are very good but the apps is not like android ,none
has managed to drastically improve and fuck up my laptop simultaneously ,unsatisfied
Hi so perhaps you can help How do I stop Win apps from hijacking my music video etc files ?,bug
postponed my update and then in minutes it happened anyways So now I really hate you ,"frustrated,unsatisfied"
@Microsoft right click keeps #breaking on task bar REALLY #frustrating Only way around is to restart windows explorer in task man ,"frustrated,bug"
STOP forcing on me Tried to upgrade w a multitude of issues Tried to fix issues no solutions worked or were available ,"frustrated,unsatisfied,bug"
FUCK YOU WINDOWS FOR FUCKING UP MY TWO YEAR OLD PROJECT YOU ABSOLUTE USELESS BUNCH OF CUNTS FUCKING FORCE UPGRADED MY PC CUNTS ,"frustrated,unsatisfied"
battery charging is slow n drains fast in win after win upgrde ,unsatisfied
windows again and it tries every time to install windows and when I try to stop it It already starts to update again ,"unsatisfied,bug"
WTF DID I GET WINDOWS WITHOUT MY PERMISSION ,"frustrated,bug"
Dear Microsoft ! Please hire someone who is professional on font design the OS X even Ubuntu Linux is much better on font display ,none
getting up to get chips is not agreeing to have windows installed Check urself u wreck urself ,"frustrated,unsatisfied,bug"
@msdev you forgot Windows Mobile at @Daniel_Rubino @GabeAul What exactly it will bring with Anniversary update ?,none
my taskbar does not work when i click windows button volumn vearch and so on ,bug
I updated Windows last night and now everything is dichlorvos and I cant play games on my pc help ?!?!?,"frustrated,unsatisfied"
thanks for the forced update to windows It really made studying for the Bar exam much easier when my laptop was useless ,"frustrated,unsatisfied"
is so bloated the feedback form ended up crashing Stop pushing this OS please !,"frustrated,bug"
what kind of upgrade causes audio problems with your computer ?!?!? Absolutely outrageous think I ll be swapping to @AppleSupport ,"frustrated,unsatisfied,bug"
not fair I had this huge document on my comp and it updated And now I cant find it anywhere ! Seriously FUCK YOU WINDOWS ??,"frustrated,unsatisfied,bug"
mail app never works anymore in windows Just get error everytime on all my accounts ,"unsatisfied,bug"
YO ASSHOLES THANKS FOR FORCING ME TO UPDATE MY SOFTWARE WHILE IM IN THE MIDDLE OF WRITING A FUCKING PAPEPR ,"frustrated,unsatisfied"
Stop forcing me to upgrade Do you want me to go to Linux ? Because this is how I get Linux ,"frustrated,unsatisfied"
fuck im going back to ,unsatisfied
@ Was @ W get technical support ! Phone rings then hangs up ! Been trying to call and fix problems for hrs ! Horrible Customer service !,"frustrated,bug"
youre OS is giving me a heart attack ! Why is my computer randomly restarting the File Explorer ? its so delicate its not funny !,"frustrated,bug"
Why is there not an effective solution to disable adaptive brightness ? Microsoft please fix #Windows #Microsoft ,"frustrated,bug"
@Microsoft youre computers spend more time performing automatic updates than they do actually being used ! #notrecommended #rubbish ,"frustrated,unsatisfied"
We want I may just transfer to @AppleSupport ,frustrated
way is it stuck more minutes ? ,bug
@Microsoft @HP I hate all of you and your ill timed updates right before due dates ,"frustrated,unsatisfied"
update hours Fuucckk ,"frustrated,unsatisfied"
I just updated to Windows now my computer keep restarting ,"unsatisfied,bug"
alwayes hang alwayes freeze until when you thing people stay with this problem ?!! most change ,"frustrated,bug"
My Nextbook has a problem snap assist doesnt work in tablet mode well it used too shame that feature was amazing ,"unsatisfied,bug"
@Microsoft immigrants with fancy degrees that are meaningless worthless paper because they dont teach them anything and you ,none
i didnt fucking want windows and i woke up with windows ,"frustrated,unsatisfied"
Insider build has the clock on secondary taskbars   doesntfix all the other annoyances but its still a nice addition ,frustrated
f u Windows made my laptop slower than ever ,"frustrated,unsatisfied"
I cant get my laptop to output to my tv screen using HDMI Anyway you can help ?,bug
Quit messing with MY win privacy pettings Me and fam friends are more n more considering Linux max My PC ! My Win ! My choise !,frustrated
My laptop has decided to upgrade to Windows of its own accord but can n Now just endlessly restarts making it useless ! Help !,"frustrated,unsatisfied,bug"
#bluescreen gets a qr code but the information is still not helpful ,bug
youve got some explaining to do Why did you upgrade my laptop without my consent ? It was in sleep mode !,"frustrated,unsatisfied"
hi I seem to like windows but why change the google page set up esp for the fav pages I have had to download another explorer ,unsatisfied
I m fighting Kernel date page error for month now Any suggestions ?,bug
you really know how to ruin a good thing Fuck you and your new update #usuck #fuckyou ,"frustrated,unsatisfied"
hi can yall stop pushing your virus mimicking OS to my incompatible laptop ? Seriously laptop is not compatible according ,"frustrated,bug"
this update yall force downloaded on my laptop ruined it Officially hate anything Windows Thanks ,"frustrated,unsatisfied"
wiNDOWS WHY WHY WHY WHY ,frustrated
WHY DID MY COMPUTER UPDATE TO WINDOWS IT WAS ON HELP ??,"frustrated,unsatisfied"
u upgraded without my consent ! Now my beats by Dr Dre is basic I can barely hear sound !! Fix now ! I hate u !,"frustrated,unsatisfied"
god damit windows i have work to do dont want to be forced to update computer #windowsblows I m switching next week ,"frustrated,unsatisfied"
Getting BSOD CRITICAL PROCESS DIED on @Sony VAIO laptop with @SanDisk replacing the original HDD after upgrade ,bug
@WindowsSupport I have continued problems with windows mail calendar wont  open now matter what I do ,bug
Updated to Windows and now my wifi isnt working help please ,"unsatisfied,bug"
I would like to be able to use my PC just once without allocating min for it to update Just once ,frustrated
my League of Legends crashes every game I go into Help !?!,"frustrated,bug"
Is really just awful Unscheduled restarts error screens now updating and restarting several times Do not have the time ,"frustrated,bug"
you fuckers wrecked my clean install with that bullshit WTF ?,frustrated
Hey Windows keep showing me nice photos without telling me where its from Wheres this place ?? ,none
Please help Restored to before critical updates Continued freezing Unbelievably frustrating !! # Help ,"frustrated,unsatisfied,bug"
turn on straight into black screen no cursor after update to Windows What next ?,bug
@windowsdev @WindowsSupport really sad that windows is nt coming to my @Lumia This was the flagship killer mobile nd no ,none
build is probably the best Windows build ever for gaming the by the way I wont recommend it ,none
Hello would be great if it worked,bug
Gallery not working after Cleared cache date cleared partition cache Albums are in My Files but no albums in Gallery ??,bug
does Android pay not work at Lidl in the UK ,bug
My device Samsung Galaxy Tab hasnt got new updates its still version cant it be upgraded to latest version ?,none
Marshmallows media sound level is always at the highst WHY ?? SO BAD ,frustrated
ive just updated my @twitter app on android amp now I cant copy paste or delete tweets with long press Please change it back !,"unsatisfied,bug"
Your #Bloatware has taken my phones storage hostage Like buying a chicken amp only being allowd eat drumstick @SamsungMobileUS ,frustrated
Pay doesnt send text verification Are the systems down ? UK based ,bug
I tried installing galaxy keyboard on my galaxy but it didnt run and I cant even run my samsung keyboard So please help ,bug
M sucks on my #nexus phone darn slow random app closes ridiculously slow not a daily driver ,"frustrated,bug"
@SamsungMobile I dont know whats happened with the latest update but nothing now works properly ! #SadFace ,"frustrated,unsatisfied,bug"
hello sir the update you did on my phone this morning without my consent blows beyond all belief #frustrated #pissed ,"frustrated,unsatisfied"
